iter	Passed	Remaining
441	1218	1537
442	1220	1534
443	1222	1530
444	1225	1528
445	1228	1526
446	1231	1523
447	1234	1520
448	1236	1518
449	1239	1514
450	1242	1512
451	1269	1539
452	1271	1535
453	1274	1533
454	1277	1530
455	1280	1527
456	1282	1523
457	1284	1520
458	1287	1517
459	1297	1522
460	1299	1519
461	1302	1516
462	1304	1513
463	1307	1510
464	1311	1508
465	1313	1505
466	1315	1501
467	1317	1497
468	1319	1494
469	1322	1491
470	1325	1489
471	1328	1486
472	1338	1491
473	1341	1488
474	1343	1484
475	1345	1481
476	1347	1477
477	1349	1474
478	1352	1471
479	1355	1467
480	1357	1464
481	1358	1460
482	1360	1456
483	1362	1452
484	1364	1448
485	1366	1444
486	1368	1441
487	1370	1437
488	1372	1434
489	1374	1430
490	1375	1426
491	1377	1422
492	1379	1418
493	1381	1415
494	1384	1412
495	1386	1408
496	1388	1405
497	1390	1401
498	1392	1397
499	1394	1394
500	1396	1391
501	1399	1387
502	1401	1384
503	1403	1380
504	1404	1377
505	1406	1373
506	1409	1370
507	1411	1366
508	1412	1362
509	1415	1359
510	1417	1356
511	1418	1352
512	1420	1348
513	1429	1351
514	1431	1348
515	1433	1344
516	1435	1341
517	1437	1337
518	1440	1334
519	1441	1330
520	1443	1326
521	1445	1323
522	1447	1320
523	1450	1317
524	1452	1314
525	1455	1311
526	1457	1308
527	1459	1304
528	1461	1301
529	1464	1298
530	1466	1295
531	1468	1292
532	1471	1289
533	1473	1286
534	1475	1282
535	1478	1279
536	1480	1276
537	1482	1273
538	1484	1269
539	1486	1265
540	1487	1262
541	1489	1258
542	1491	1255
543	1494	1253
544	1497	1250
545	1502	1249
546	1505	1247
547	1509	1244
548	1511	1241
549	1512	1237
550	1514	1234
551	1516	1231
552	1518	1227
553	1520	1224
554	1522	1220
555	1524	1217
556	1526	1214
557	1528	1210
558	1530	1207
559	1531	1203
560	1533	1200
561	1535	1196
562	1537	1193
563	1539	1190
564	1541	1186
565	1543	1183
566	1545	1179
567	1546	1176
568	1548	1173
569	1550	1169
570	1552	1166
571	1554	1162
572	1556	1159
573	1558	1156
574	1560	1153
575	1562	1149
576	1564	1147
577	1566	1143
578	1568	1140
579	1570	1137
580	1572	1134
581	1574	1130
582	1576	1127
583	1578	1124
584	1580	1120
585	1581	1117
586	1583	1114
587	1585	1111
588	1587	1107
589	1590	1105
590	1592	1102
591	1594	1098
592	1596	1095
593	1598	1092
594	1600	1089
595	1601	1085
596	1604	1082
597	1606	1079
598	1608	1076
599	1610	1073
600	1611	1070
601	1613	1066
602	1615	1063
603	1617	1060
604	1619	1057
605	1621	1054
606	1624	1051
607	1626	1048
608	1628	1045
609	1630	1042
610	1631	1038
611	1634	1036
612	1636	1033
613	1638	1030
614	1640	1027
615	1642	1024
616	1644	1020
617	1646	1017
618	1648	1014
619	1651	1012
620	1653	1009
621	1655	1006
622	1657	1002
623	1658	999
624	1660	996
625	1663	993
626	1666	991
627	1669	988
628	1671	986
629	1674	983
630	1676	980
631	1678	977
632	1680	974
633	1683	971
634	1685	968
635	1686	965
636	1688	962
637	1690	959
638	1692	956
639	1694	952
640	1696	949
641	1698	946
642	1699	943
643	1701	940
644	1703	937
645	1705	934
646	1707	931
647	1709	928
648	1710	925
649	1712	922
650	1714	919
651	1716	916
652	1719	913
653	1721	910
654	1723	907
655	1724	904
656	1726	901
657	1728	898
658	1730	895
659	1732	892
660	1734	889
661	1736	886
662	1737	883
663	1739	880
664	1741	877
665	1743	874
666	1745	871
667	1747	868
668	1749	865
669	1751	862
670	1752	859
671	1754	856
672	1756	853
673	1757	850
674	1760	847
675	1762	844
676	1764	841
677	1766	838
678	1767	835
679	1769	832
680	1771	829
681	1773	826
682	1805	838
683	1808	835
684	1810	832
685	1812	829
686	1814	826
687	1816	823
688	1819	821
689	1821	818
690	1823	815
691	1825	812
692	1827	809
693	1828	806
694	1830	803
695	1832	800
696	1833	797
697	1835	794
698	1837	791
699	1839	788
700	1841	785
701	1843	782
702	1844	779
703	1846	776
704	1849	773
705	1851	771
706	1855	769
707	1858	766
708	1862	764
709	1865	761
710	1868	759
711	1871	757
712	1874	754
713	1877	752
714	1880	749
715	1883	746
716	1885	744
717	1888	741
718	1891	739
719	1893	736
720	1896	733
721	1898	731
722	1900	728
723	1903	725
724	1906	723
725	1908	720
726	1909	717
727	1911	714
728	1913	711
729	1915	708
730	1917	705
731	1919	702
732	1921	699
733	1923	696
734	1924	694
735	1926	691
736	1928	688
737	1929	685
738	1931	682
739	1934	679
740	1936	676
741	1937	673
742	1940	671
743	1942	668
744	1943	665
745	1945	662
746	1947	659
747	1949	656
748	1951	654
749	1953	651
750	1955	648
751	1957	645
752	1958	642
753	1961	639
754	1963	637
755	1965	634
756	1967	631
757	1969	628
758	1971	625
759	1973	623
760	1975	620
761	1977	617
762	1979	614
763	1982	612
764	1984	609
765	1986	606
766	1989	604
767	1991	601
768	1993	598
769	1996	596
770	1998	593
771	2000	590
772	2002	588
773	2004	585
774	2007	582
775	2011	580
776	2014	578
777	2017	575
778	2019	572
779	2021	570
780	2022	567
781	2024	564
782	2026	561
783	2028	558
784	2030	556
785	2032	553
786	2034	550
787	2036	547
788	2037	544
789	2039	542
790	2041	539
791	2043	536
792	2045	533
793	2047	531
794	2049	528
795	2050	525
796	2052	522
797	2054	519
798	2055	517
799	2058	514
800	2060	511
801	2062	509
802	2064	506
803	2065	503
804	2067	500
805	2069	498
806	2071	495
807	2073	492
808	2076	490
809	2078	487
810	2079	484
811	2081	481
812	2083	479
813	2085	476
814	2087	473
815	2088	470
816	2090	468
817	2092	465
818	2094	462
819	2096	460
820	2097	457
821	2116	458
822	2123	456
823	2133	455
824	2138	453
825	2143	451
826	2147	449
827	2151	446
828	2155	444
829	2158	442
830	2161	439
831	2163	436
832	2165	434
833	2168	431
834	2170	428
835	2172	426
836	2174	423
837	2176	420
838	2178	417
839	2179	415
840	2181	412
841	2183	409
842	2185	407
843	2187	404
844	2189	401
845	2191	398
846	2193	396
847	2194	393
848	2196	390
849	2198	387
850	2200	385
851	2202	382
852	2204	379
853	2206	377
854	2207	374
855	2209	371
856	2211	369
857	2213	366
858	2215	363
859	2217	360
860	2218	358
861	2220	355
862	2222	352
863	2224	350
864	2225	347
865	2227	344
866	2229	342
867	2232	339
868	2235	337
869	2238	334
870	2241	331
871	2243	329
872	2245	326
873	2247	324
874	2249	321
875	2251	318
876	2253	315
877	2254	313
878	2256	310
879	2259	308
880	2261	305
881	2263	302
882	2265	300
883	2267	297
884	2269	294
885	2271	292
886	2273	289
887	2275	286
888	2277	284
889	2279	281
890	2280	279
891	2282	276
892	2284	273
893	2286	271
894	2288	268
895	2290	265
896	2292	263
897	2294	260
898	2296	258
899	2298	255
900	2300	252
901	2303	250
902	2305	247
903	2307	245
904	2309	242
905	2311	239
906	2314	237
907	2317	234
908	2319	232
909	2321	229
910	2323	226
911	2325	224
912	2328	221
913	2330	219
914	2332	216
915	2333	214
916	2335	211
917	2337	208
918	2339	206
919	2341	203
920	2343	200
921	2345	198
922	2347	195
923	2348	193
924	2350	190
925	2352	187
926	2354	185
927	2356	182
928	2359	180
929	2362	177
930	2365	175
931	2367	172
932	2370	170
933	2372	167
934	2374	165
935	2376	162
936	2378	159
937	2379	157
938	2381	154
939	2383	152
940	2385	149
941	2387	147
942	2390	144
943	2391	141
944	2393	139
945	2395	136
946	2397	134
947	2399	131
948	2402	129
949	2404	126
950	2406	123
951	2408	121
952	2410	118
953	2413	116
954	2415	113
955	2417	111
956	2419	108
957	2421	106
958	2423	103
959	2425	101
960	2427	98
961	2429	95
962	2431	93
963	2433	90
964	2435	88
965	2437	85
966	2438	83
967	2441	80
968	2443	78
969	2444	75
970	2446	73
971	2448	70
972	2450	68
973	2452	65
974	2454	62
975	2456	60
976	2458	57
977	2460	55
978	2462	52
979	2463	50
980	2465	47
981	2468	45
982	2470	42
983	2472	40
984	2474	37
985	2476	35
986	2478	32
987	2479	30
988	2481	27
989	2484	25
990	2486	22
991	2488	20
992	2491	17
993	2493	15
994	2494	12
995	2497	10
996	2499	7
997	2501	5
998	2504	2
999	2506	0
