iter	Logloss
0	0.6835765028
1	0.6736842116
2	0.6643364391
3	0.6554415891
4	0.6465108723
5	0.6380511124
6	0.6293070283
7	0.6224801146
8	0.6139039023
9	0.6073038198
10	0.5997593325
11	0.5923461393
12	0.5853702127
13	0.5781244887
14	0.571323833
15	0.5646391884
16	0.5582486797
17	0.5516650829
18	0.545319108
19	0.5408939015
20	0.5346051163
21	0.5286297695
22	0.5224066773
23	0.5168208207
24	0.511491424
25	0.5065575691
26	0.50036487
27	0.4954611401
28	0.4905512131
29	0.4855657316
30	0.4810442851
31	0.4760924321
32	0.4715239629
33	0.4670002765
34	0.4626874012
35	0.4593238178
36	0.456267493
37	0.4521863443
38	0.4492280462
39	0.4469134294
40	0.443093171
41	0.4395108663
42	0.4356223088
43	0.4320324269
44	0.428488088
45	0.4256364073
46	0.422670768
47	0.4195356923
48	0.4163290367
49	0.414576417
50	0.4121138738
51	0.4091297382
52	0.4063050314
53	0.4033977011
54	0.4005208452
55	0.3973140222
56	0.3943457778
57	0.3916264696
58	0.3888862442
59	0.3865000749
60	0.3840159318
61	0.3816169579
62	0.379111403
63	0.3771418467
64	0.3750525551
65	0.3722311885
66	0.3701669403
67	0.3682617194
68	0.3658568808
69	0.3633311905
70	0.361280991
71	0.3593046661
72	0.3573951786
73	0.3561461393
74	0.3543928129
75	0.3526862761
76	0.3509241014
77	0.349088227
78	0.34749216
79	0.3464503917
80	0.3446005623
81	0.3429598496
82	0.3415249587
83	0.3399776978
84	0.3385253488
85	0.3374761807
86	0.3358599163
87	0.3343433653
88	0.3329338419
89	0.33226283
90	0.3309006214
91	0.3299485248
92	0.3288407711
93	0.3279151668
94	0.3266501882
95	0.3257824522
96	0.3252648718
97	0.3243183397
98	0.3228931461
99	0.3214103742
100	0.3204891545
101	0.3193824321
102	0.3184207927
103	0.317659308
104	0.3159531467
105	0.3146073116
106	0.3136972319
107	0.3128725709
108	0.3121741194
109	0.3111552398
110	0.3101322838
111	0.3092395418
112	0.3082706383
113	0.3078339246
114	0.3069562778
115	0.3057408075
116	0.3047763233
117	0.3042275875
118	0.3036946481
119	0.3029037252
120	0.3021101285
121	0.3011978681
122	0.300539986
123	0.2994688001
124	0.2988658956
125	0.2984650454
126	0.2974825255
127	0.2969219746
128	0.2961436587
129	0.2956330744
130	0.2948260489
131	0.2942612368
132	0.2935586901
133	0.293179258
134	0.292814524
135	0.2917570769
136	0.291247392
137	0.2902795736
138	0.2896361817
139	0.2891953467
140	0.288736851
141	0.2884546126
142	0.2878108741
143	0.2875224656
144	0.2873014875
145	0.2867342693
146	0.2861403222
147	0.285490462
148	0.2846963502
149	0.2841886694
150	0.2835494731
151	0.2832015463
152	0.282714624
153	0.2822959887
154	0.2817365915
155	0.2810109215
156	0.2801133874
157	0.2794928228
158	0.2789509971
159	0.278571129
160	0.2780241923
161	0.2775386158
162	0.2770915931
163	0.276600867
164	0.2760645714
165	0.2757068619
166	0.2752302326
167	0.2749139381
168	0.2744332036
169	0.273964807
170	0.2734991278
171	0.2728155832
172	0.2721763377
173	0.2716493841
174	0.2713910679
175	0.2710326653
176	0.2706964923
177	0.2702471703
178	0.2697485017
179	0.2691160415
180	0.2686125749
181	0.2681502492
182	0.2676926042
183	0.2672011834
184	0.2665921464
185	0.2662959114
186	0.2659391702
187	0.2656880496
188	0.2652128554
189	0.2645235656
190	0.2641154871
191	0.2636032646
192	0.2631707685
193	0.2627927973
194	0.2621102047
195	0.2616236372
196	0.2610936149
197	0.260657101
198	0.2603449327
199	0.2597790032
200	0.2596890972
201	0.2592524583
202	0.2589818335
203	0.2586966034
204	0.2582796405
