iter	Logloss
0	0.6840034079
1	0.674453484
2	0.6655046689
3	0.6565386429
4	0.6478596574
5	0.6395488731
6	0.6314017028
7	0.6233311825
8	0.614935409
9	0.6071935405
10	0.5999056264
11	0.5927036043
12	0.5858496487
13	0.5789280885
14	0.5725511322
15	0.5661797482
16	0.560063635
17	0.5536083472
18	0.5476766547
19	0.5430387141
20	0.5369103979
21	0.5311381931
22	0.5256347044
23	0.5202057574
24	0.514940971
25	0.5102204391
26	0.5051973294
27	0.5002666812
28	0.4953512708
29	0.4905842284
30	0.4861462931
31	0.4821013652
32	0.4775939656
33	0.4733298511
34	0.4693089349
35	0.4648526542
36	0.460943893
37	0.4573225692
38	0.4539494466
39	0.4503825658
40	0.446571521
41	0.443210823
42	0.4396485308
43	0.4363405289
44	0.4334014404
45	0.4306460804
46	0.4269768662
47	0.4246344135
48	0.4217898034
49	0.4188053526
50	0.4154448843
51	0.4127074541
52	0.4098739601
53	0.4072796777
54	0.4045364451
55	0.4019520055
56	0.3990981116
57	0.3968078857
58	0.3950687909
59	0.3929072915
60	0.390493037
61	0.3884643145
62	0.3860400633
63	0.3838475647
64	0.3824507045
65	0.380340919
66	0.3785776215
67	0.3763658163
68	0.3743383577
69	0.3725221487
70	0.3704504722
71	0.3691364472
72	0.3673408959
73	0.3659456027
74	0.3640686521
75	0.362704731
76	0.3606163472
77	0.3588283298
78	0.3578620064
79	0.356714536
80	0.3552203946
81	0.3534534243
82	0.3518400966
83	0.3501360738
84	0.3490733354
85	0.3477390827
86	0.3463025143
87	0.345213742
88	0.3435308719
89	0.3427617154
90	0.3421562401
91	0.3407252859
92	0.3396277962
93	0.3383833313
94	0.3372182225
95	0.3365318412
96	0.335513797
97	0.3347662384
98	0.3338938535
99	0.3325578145
100	0.3315616228
101	0.3307589669
102	0.329332
103	0.3287604445
104	0.3282237605
105	0.3269177383
106	0.3260724643
107	0.3250643122
108	0.3238944295
109	0.3223960001
110	0.3216554079
111	0.320503315
112	0.3194704161
113	0.3186984563
114	0.3179143733
115	0.3172563365
116	0.3163582867
117	0.3154183821
118	0.314630692
119	0.313991262
120	0.313082228
121	0.3117852071
122	0.3113471066
123	0.3109418307
124	0.3100702947
125	0.3099920322
126	0.3092404485
127	0.3085177044
128	0.3076113857
129	0.3069829198
130	0.3065843215
131	0.3058957643
132	0.304993612
133	0.3044292414
134	0.3038196576
135	0.3030396244
136	0.30265037
137	0.3023318509
138	0.3015141716
139	0.3010347925
140	0.3006585174
141	0.2998844172
142	0.2991828518
143	0.2985574045
144	0.2976278656
145	0.2970116564
146	0.2962097414
147	0.2956194603
148	0.294872869
149	0.2941277595
150	0.2934297797
151	0.2929724443
152	0.2923715802
153	0.2920792499
154	0.2917105337
155	0.2913496719
