iter	Passed	Remaining
495	1489	1513
496	1492	1510
497	1494	1507
498	1498	1504
499	1501	1501
500	1503	1497
501	1506	1494
502	1508	1490
503	1510	1486
504	1513	1483
505	1516	1480
506	1519	1477
507	1522	1474
508	1524	1470
509	1526	1466
510	1528	1462
511	1546	1473
512	1552	1473
513	1557	1473
514	1562	1471
515	1566	1469
516	1569	1466
517	1573	1463
518	1576	1461
519	1579	1457
520	1582	1454
521	1584	1450
522	1586	1447
523	1589	1443
524	1591	1439
525	1593	1436
526	1595	1432
527	1597	1428
528	1599	1424
529	1601	1420
530	1603	1416
531	1605	1412
532	1608	1409
533	1610	1405
534	1612	1401
535	1614	1397
536	1616	1393
537	1618	1389
538	1620	1385
539	1621	1381
540	1624	1378
541	1626	1374
542	1629	1371
543	1632	1368
544	1635	1365
545	1637	1361
546	1640	1358
547	1643	1355
548	1646	1352
549	1649	1349
550	1653	1347
551	1656	1344
552	1659	1341
553	1662	1338
554	1664	1334
555	1667	1331
556	1669	1327
557	1673	1325
558	1676	1322
559	1678	1318
560	1680	1315
561	1682	1311
562	1684	1307
563	1687	1304
564	1690	1301
565	1692	1298
566	1694	1294
567	1702	1294
568	1704	1291
569	1706	1287
570	1708	1283
571	1710	1279
572	1712	1275
573	1713	1272
574	1715	1268
575	1717	1264
576	1719	1260
577	1721	1257
578	1723	1253
579	1725	1249
580	1728	1246
581	1730	1242
582	1732	1238
583	1734	1235
584	1736	1232
585	1738	1228
586	1740	1224
587	1742	1221
588	1745	1217
589	1747	1214
590	1749	1211
591	1752	1207
592	1754	1204
593	1756	1200
594	1758	1196
595	1760	1193
596	1762	1189
597	1765	1186
598	1767	1183
599	1769	1179
600	1771	1175
601	1773	1172
602	1775	1168
603	1777	1165
604	1779	1161
605	1781	1158
606	1784	1155
607	1787	1152
608	1790	1149
609	1793	1146
610	1795	1143
611	1798	1140
612	1801	1137
613	1804	1134
614	1807	1131
615	1809	1128
616	1812	1125
617	1815	1121
618	1817	1118
619	1820	1115
620	1823	1112
621	1825	1109
622	1828	1106
623	1830	1102
624	1833	1099
625	1836	1096
626	1838	1093
627	1839	1089
628	1841	1086
629	1844	1083
630	1847	1080
631	1850	1077
632	1852	1074
633	1854	1070
634	1856	1067
635	1859	1063
636	1861	1060
637	1863	1057
638	1864	1053
639	1867	1050
640	1869	1046
641	1871	1043
642	1873	1039
643	1875	1036
644	1877	1033
645	1879	1030
646	1881	1026
647	1883	1023
648	1885	1019
649	1888	1016
650	1891	1013
651	1893	1010
652	1895	1007
653	1897	1003
654	1899	1000
655	1901	997
656	1903	993
657	1906	990
658	1908	987
659	1910	984
660	1912	981
661	1914	977
662	1916	974
663	1918	971
664	1921	967
665	1923	964
666	1925	961
667	1927	957
668	1929	954
669	1931	951
670	1933	947
671	1935	944
672	1937	941
673	1954	945
674	1958	943
675	1962	940
676	1966	938
677	1969	935
678	1972	932
679	1975	929
680	1978	926
681	1981	923
682	1984	920
683	1986	917
684	1989	914
685	1992	911
686	1994	908
687	1996	905
688	2011	907
689	2013	904
690	2016	901
691	2020	899
692	2022	896
693	2025	892
694	2027	889
695	2030	886
696	2033	883
697	2036	881
698	2039	878
699	2041	875
700	2044	872
701	2046	868
702	2049	865
703	2052	862
704	2054	859
705	2057	856
706	2061	854
707	2063	851
708	2066	848
709	2068	844
710	2070	841
711	2073	838
712	2075	835
713	2077	832
714	2079	828
715	2081	825
716	2083	822
717	2086	819
718	2088	816
719	2089	812
720	2091	809
721	2094	806
722	2096	803
723	2098	799
724	2100	796
725	2102	793
726	2104	790
727	2106	787
728	2109	784
729	2111	780
730	2113	777
731	2115	774
732	2118	771
733	2120	768
734	2122	765
735	2124	762
736	2126	758
737	2129	755
738	2131	752
739	2133	749
740	2134	746
741	2137	743
742	2139	740
743	2141	736
744	2143	733
745	2145	730
746	2147	727
747	2150	724
748	2152	721
749	2154	718
750	2156	715
751	2159	712
752	2161	709
753	2164	706
754	2166	703
755	2169	700
756	2172	697
757	2175	694
758	2178	691
759	2180	688
760	2182	685
761	2184	682
762	2186	679
763	2188	675
764	2190	672
765	2193	670
766	2195	666
767	2197	663
768	2199	660
769	2201	657
770	2204	654
771	2209	652
772	2212	649
773	2214	646
774	2218	644
775	2220	640
776	2222	637
777	2224	634
778	2226	631
779	2228	628
780	2230	625
781	2232	622
782	2234	619
783	2236	616
784	2238	613
785	2241	610
786	2243	607
787	2245	603
788	2247	600
789	2249	597
790	2251	594
791	2253	591
792	2255	588
793	2258	585
794	2260	582
795	2262	579
796	2264	576
797	2266	573
798	2268	570
799	2270	567
800	2273	564
801	2275	561
802	2277	558
803	2279	555
804	2281	552
805	2283	549
806	2285	546
807	2288	543
808	2290	540
809	2292	537
810	2294	534
811	2296	531
812	2298	528
813	2300	525
814	2303	522
815	2305	519
816	2307	516
817	2309	513
818	2311	510
819	2313	507
820	2315	504
821	2318	502
822	2330	501
823	2333	498
824	2336	495
825	2338	492
826	2340	489
827	2342	486
828	2344	483
829	2346	480
830	2348	477
831	2350	474
832	2353	471
833	2355	468
834	2358	465
835	2360	463
836	2362	460
837	2364	457
838	2367	454
839	2369	451
840	2372	448
841	2374	445
842	2376	442
843	2379	439
844	2382	437
845	2385	434
846	2388	431
847	2390	428
848	2392	425
849	2394	422
850	2396	419
851	2398	416
852	2400	413
853	2402	410
854	2404	407
855	2406	404
856	2408	401
857	2410	398
858	2413	396
859	2415	393
860	2417	390
861	2419	387
862	2421	384
863	2424	381
864	2426	378
865	2428	375
866	2430	372
867	2432	369
868	2434	367
869	2436	364
870	2438	361
871	2441	358
872	2443	355
873	2445	352
874	2447	349
875	2449	346
876	2451	343
877	2453	340
878	2455	338
879	2457	335
880	2459	332
881	2462	329
882	2464	326
883	2466	323
884	2469	320
885	2471	318
886	2474	315
887	2476	312
888	2478	309
889	2480	306
890	2483	303
891	2485	300
892	2487	298
893	2489	295
894	2491	292
895	2494	289
896	2495	286
897	2498	283
898	2499	280
899	2501	277
900	2503	275
901	2506	272
902	2508	269
903	2510	266
904	2522	264
905	2524	261
906	2527	259
907	2529	256
908	2531	253
909	2534	250
910	2536	247
911	2539	245
912	2541	242
913	2544	239
914	2546	236
915	2549	233
916	2551	230
917	2553	228
918	2556	225
919	2558	222
920	2575	220
921	2580	218
922	2586	215
923	2592	213
924	2597	210
925	2600	207
926	2622	206
927	2628	203
928	2633	201
929	2639	198
930	2643	195
931	2647	193
932	2651	190
933	2655	187
934	2659	184
935	2662	182
936	2665	179
937	2667	176
938	2669	173
939	2672	170
940	2674	167
941	2676	164
942	2678	161
943	2680	159
944	2682	156
945	2684	153
946	2686	150
947	2688	147
948	2690	144
949	2692	141
950	2694	138
951	2695	135
952	2698	133
953	2700	130
954	2701	127
955	2703	124
956	2705	121
957	2708	118
958	2710	115
959	2712	113
960	2715	110
961	2717	107
962	2721	104
963	2724	101
964	2726	98
965	2729	96
966	2732	93
967	2734	90
968	2736	87
969	2738	84
970	2740	81
971	2742	78
972	2744	76
973	2746	73
974	2748	70
975	2750	67
976	2752	64
977	2754	61
978	2756	59
979	2758	56
980	2760	53
981	2763	50
982	2766	47
983	2768	45
984	2771	42
985	2773	39
986	2775	36
987	2777	33
988	2779	30
989	2781	28
990	2784	25
991	2786	22
992	2788	19
993	2790	16
994	2792	14
995	2794	11
996	2796	8
997	2798	5
998	2800	2
999	2802	0
